@relation SelectedFeatures_excel

@attribute C {C1,C2,C3,C4,C5,C6,C7,C8}
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric

@data
C1,0.400687,0.588663,0.424142,0.3215,0.471659,0.514888,0.504834,0.635776,0.404078,0.400687,0.469654,0.602361,0.556711,0.416135,0.492632,0.375841,0.636605,0.218809,0.269156,0.494008,0.487045,0.606727,0.05731,0.000034,0.00013,0.000085,0.529336,0.006006,0.529336,0.006006,0.301089,0.332872,0.349468,0.314437,0.304528,0.476167,0.332642,0.351626,0.383989,0.263451,0.497664,0.317642,0.502389,0.314249,0.32635,0.247529,0.307602,0.22695,0.406308,0.455227,0.307022,0.399143,0.171137,0.550995,0.484169,0.661009,0.550221,0.631157
C1,0.428915,0.675228,0.422836,0.232455,0.374384,0.343342,0.708566,0.689323,0.301644,0.428915,0.381486,0.668666,0.633874,0.32486,0.480559,0.378205,0.602732,0.278261,0.282355,0.514886,0.766583,0.682505,0.059844,0.000071,0.001579,0.000233,1,0.019123,1,0.019123,0.121205,0.138928,0.17004,0.182645,0.218472,0.284168,0.238733,0.298672,0.07734,0.206242,0.246733,0.251464,0.085603,0.216871,0.130599,0.062037,0.002575,0.182797,0.040106,0.254567,0.061106,0.468448,0.260938,0.166566,0.953785,0.453677,0.117903,0.860975
C1,0.377261,0.657073,0.390579,0.301697,0.52928,0.344597,0.659662,0.57664,0.294829,0.377261,0.608046,0.427123,0.77939,0.302744,0.465271,0.287425,0.6394,0.229671,0.2717,0.41635,0.693731,0.606726,0.047185,0.000328,0.000107,0.000048,0.623146,0.090588,0.623146,0.090588,0.188758,0.18052,0.259925,0.276625,0.326538,0.361271,0.278909,0.275702,0.180613,0.229155,0.526904,0.317507,0.418614,0.307964,0.237913,0.350568,0.136366,0.221075,0.181345,0.468676,0.193099,0.400705,0.261317,0.323971,0.794555,0.451074,0.51502,0.86486
C1,0.35946,0.580772,0.398766,0.254476,0.460103,0.289002,0.591115,0.531977,0.265432,0.35946,0.47345,0.464202,0.674776,0.307177,0.507307,0.326928,0.62271,0.231316,0.26305,0.419409,0.684275,0.601991,0.049584,0.000181,0.000153,0.000004,0.620771,0.045872,0.620771,0.045872,0.159807,0.210157,0.237749,0.339103,0.38399,0.395838,0.31393,0.362459,0.221271,0.256348,0.627572,0.348118,0.307067,0.31634,0.301792,0.370651,0.120661,0.234301,0.202254,0.519117,0.182538,0.433542,0.297884,0.242543,0.908579,0.384335,0.430317,0.936843
C1,0.468369,0.605412,0.495788,0.361254,0.634983,0.427964,0.741753,0.608908,0.417479,0.468369,0.569539,0.522756,0.593432,0.396808,0.401952,0.441549,0.500841,0.227444,0.287671,0.488898,0.595793,0.08446,0.069382,0.000206,0.000156,0.000155,0.785006,0.03448,0.785006,0.03448,0.152153,0.161561,0.226493,0.232645,0.278991,0.329183,0.312835,0.145664,0.099113,0.260915,0.246631,0.32191,0.098031,0.291995,0.24535,0.223449,0.087939,0.250213,0.058608,0.268592,0.156372,0.565521,0.399298,0.05744,0.953715,0.496178,0.09345,0.570208
C1,0.462304,0.6857,0.438828,0.375917,0.594107,0.628324,0.772285,0.49547,0.46613,0.462304,0.726542,0.568065,0.729606,0.407044,0.348057,0.411256,0.630628,0.214611,0.244165,0.59963,0.473005,0.606727,0.041521,0.000245,0.005114,0.000289,0.786526,0.099968,0.786526,0.099968,0.206763,0.298841,0.265734,0.301274,0.342102,0.39789,0.314477,0.232359,0.300935,0.24527,0.356826,0.320282,0.192473,0.205097,0.181897,0.197693,0.184417,0.16949,0.267049,0.283793,0.173264,0.525476,0.16442,0.356634,0.737276,0.610155,0.36877,0.721776
C1,0.4443,0.615995,0.532051,0.353703,0.620657,0.406937,0.713511,0.615939,0.403041,0.4443,0.545388,0.564841,0.570421,0.393097,0.458467,0.430575,0.47636,0.250094,0.303611,0.468316,0.60608,0.116632,0.069419,0.000258,0.000038,0.000093,0.783424,0.043206,0.783424,0.043206,0.153926,0.176793,0.22554,0.231843,0.276482,0.330825,0.313898,0.144338,0.122384,0.260599,0.243422,0.321938,0.070488,0.291091,0.250662,0.223136,0.093549,0.24944,0.097318,0.263242,0.152794,0.562833,0.409705,0.059318,0.932781,0.493107,0.056004,0.55612
C1,0.506251,0.648365,0.393472,0.39669,0.583015,0.402567,0.63364,0.645144,0.393797,0.506251,0.62918,0.48717,0.770064,0.460869,0.369312,0.302052,0.47115,0.241493,0.307392,0.354873,0.599468,0.629863,0.08226,0.000189,0.006584,0.001803,0.566583,0.018384,0.566583,0.018384,0.302398,0.285923,0.371725,0.255296,0.277798,0.447607,0.3458,0.218525,0.287573,0.307422,0.457624,0.371871,0.428916,0.344998,0.271578,0.209091,0.284617,0.267455,0.227885,0.407878,0.277762,0.439675,0.157784,0.533357,0.666275,0.607562,0.444999,0.733908
C1,0.48692,0.879351,0.609814,0.456781,0.819369,0.690291,0.643757,0.99609,0.543762,0.48692,0.957784,0.579346,0.941449,0.440398,0.685494,0.45519,0.826721,0.288182,0.337551,0.679339,0.397693,0.37018,0.084977,0.000974,0.002126,0.000395,0.700828,0.103797,0.700828,0.103797,0.363317,0.455932,0.464335,0.344752,0.233384,0.341457,0.174508,0.634302,0.514367,0.169487,0.526913,0.192716,0.714696,0.150567,0.001555,0.042095,0.257622,0.078801,0.384481,0.208973,0.196727,0.173679,0.145438,0.772001,0.439533,0.523761,0.610043,0.872063
C1,0.474183,0.892756,0.487863,0.386393,0.651592,0.523344,0.866608,0.814612,0.405862,0.474183,0.803629,0.615677,0.924776,0.378661,0.560393,0.363676,0.714784,0.224429,0.263191,0.650599,0.508991,0.587786,0.042473,0.000303,0.00015,0.000026,0.817684,0.122697,0.817684,0.122697,0.216339,0.263134,0.285552,0.18536,0.15753,0.265057,0.157643,0.214813,0.292545,0.140219,0.248303,0.168444,0.269597,0.127618,0.026173,0.027477,0.198739,0.080397,0.259828,0.121979,0.151148,0.238983,0.161303,0.680477,0.558837,0.500374,0.57016,0.890611
